"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Pseudomonas_aeruginosa_strain1","Pseudomonas_aeruginosa_strain2"
"group_182","","hypothetical protein","2","2","1","1","5445","","","","671","671","671","HCGKCINC_02357","PIELJBDO_02850"
"allE","","(S)-ureidoglycine aminohydrolase","2","2","1","1","3264","","","","836","836","836","HCGKCINC_01180","PIELJBDO_04029"
"group_1821","","hypothetical protein","2","2","1","1","4226","","","","1757","1757","1757","HCGKCINC_03544","PIELJBDO_01585"
"fadB_2","","Fatty acid oxidation complex subunit alpha","2","2","1","1","4656","","","","2147","2147","2147","HCGKCINC_03120","PIELJBDO_02031"
"group_1823","","hypothetical protein","2","2","1","1","367","","","","401","401","401","HCGKCINC_05714","PIELJBDO_05940"
"group_1824","","hypothetical protein","2","2","1","1","1958","","","","182","182","182","HCGKCINC_00290","PIELJBDO_00303"
"group_1825","","hypothetical protein","2","2","1","1","6024","","","","953","953","953","HCGKCINC_01778","PIELJBDO_03419"
"group_1826","","hypothetical protein","2","2","1","1","694","","","","1268","1268","1268","HCGKCINC_05385","PIELJBDO_05611"
"group_1827","","hypothetical protein","2","2","1","1","3483","","","","476","476","476","HCGKCINC_01397","PIELJBDO_03795"
"group_1828","","hypothetical protein","2","2","1","1","5292","","","","434","434","434","HCGKCINC_02509","PIELJBDO_02697"
"hyuC","","N-carbamoyl-L-amino-acid hydrolase","2","2","1","1","2122","","","","1283","1283","1283","HCGKCINC_00454","PIELJBDO_00468"
"group_183","","hypothetical protein","2","2","1","1","5441","","","","287","287","287","HCGKCINC_02361","PIELJBDO_02846"
"group_1830","","hypothetical protein","2","2","1","1","1125","","","","1001","1001","1001","HCGKCINC_04953","PIELJBDO_05174"
"group_1831","","hypothetical protein","2","2","1","1","783","","","","2207","2207","2207","HCGKCINC_05294","PIELJBDO_05519"
"argJ","","Arginine biosynthesis bifunctional protein ArgJ","2","2","1","1","149","","","","1217","1217","1217","HCGKCINC_04547","PIELJBDO_04661"
"cpxR","","Transcriptional regulatory protein CpxR","2","2","1","1","4458","","","","677","677","677","HCGKCINC_03316","PIELJBDO_01839"
"group_1834","","hypothetical protein","2","2","1","1","537","","","","383","383","383","HCGKCINC_05539","PIELJBDO_05765"
"group_1835","","hypothetical protein","2","2","1","1","5909","","","","302","302","302","HCGKCINC_01897","PIELJBDO_03299"
"group_1836","","hypothetical protein","2","2","1","1","5831","","","","1151","1151","1151","HCGKCINC_01970","PIELJBDO_03226"
"hda","","DnaA regulatory inactivator Hda","2","2","1","1","1599","","","","704","704","704","HCGKCINC_00980","PIELJBDO_04228"
"group_1838","","hypothetical protein","2","2","1","1","5191","","","","935","935","935","HCGKCINC_02608","PIELJBDO_02598"
"group_1839","","hypothetical protein","2","2","1","1","2044","","","","647","647","647","HCGKCINC_00376","PIELJBDO_00390"
"btuB_5","","Vitamin B12 transporter BtuB","2","2","1","1","5440","","","","2120","2132","2126","HCGKCINC_02362","PIELJBDO_02845"
"rplR","","50S ribosomal protein L18","2","2","1","1","2856","","","","350","350","350","HCGKCINC_04379","PIELJBDO_00733"
"group_1841","","hypothetical protein","2","2","1","1","596","","","","428","428","428","HCGKCINC_05480","PIELJBDO_05707"
"group_1842","","hypothetical protein","2","2","1","1","5980","","","","248","248","248","HCGKCINC_01822","PIELJBDO_03375"
"rnc","","Ribonuclease 3","2","2","1","1","3046","","","","689","689","689","HCGKCINC_00796","PIELJBDO_04418"
"soxR_1","","Redox-sensitive transcriptional activator SoxR","2","2","1","1","5456","","","","470","470","470","HCGKCINC_02346","PIELJBDO_02861"
"lptB_3","","Lipopolysaccharide export system ATP-binding protein LptB","2","2","1","1","997","","","","872","872","872","HCGKCINC_05080","PIELJBDO_05304"
"can","","Carbonic anhydrase 2","2","2","1","1","1239","","","","647","647","647","HCGKCINC_04833","PIELJBDO_05054"
"group_1847","","hypothetical protein","2","2","1","1","796","","","","257","257","257","HCGKCINC_05281","PIELJBDO_05506"
"group_1848","","hypothetical protein","2","2","1","1","1031","","","","407","407","407","HCGKCINC_05047","PIELJBDO_05271"
"group_1849","","hypothetical protein","2","2","1","1","4449","","","","938","938","938","HCGKCINC_03325","PIELJBDO_01830"
"group_185","","hypothetical protein","2","2","1","1","5437","","","","281","281","281","HCGKCINC_02365","PIELJBDO_02842"
"zntB_1","","Zinc transport protein ZntB","2","2","1","1","5981","","","","998","998","998","HCGKCINC_01821","PIELJBDO_03376"
"paaF_3","","2,3-dehydroadipyl-CoA hydratase","2","2","1","1","3366","","","","797","797","797","HCGKCINC_01279","PIELJBDO_03913"
"ugpC","","sn-glycerol-3-phosphate import ATP-binding protein UgpC","2","2","1","1","4476","","","","1160","1160","1160","HCGKCINC_03298","PIELJBDO_01857"
"cvfB","","Conserved virulence factor B","2","2","1","1","3239","","","","839","839","839","HCGKCINC_01155","PIELJBDO_04053"
"rplP","","50S ribosomal protein L16","2","2","1","1","2865","","","","413","413","413","HCGKCINC_04388","PIELJBDO_00724"
"ftsA_1","","Cell division protein FtsA","2","2","1","1","143","","","","1253","1253","1253","HCGKCINC_04553","PIELJBDO_04667"
"group_1856","","hypothetical protein","2","2","1","1","3103","","","","92","92","92","HCGKCINC_00742","PIELJBDO_03973"
"glnK","","Nitrogen regulatory protein P-II 2","2","2","1","1","608","","","","338","338","338","HCGKCINC_05468","PIELJBDO_05695"
"group_1858","","hypothetical protein","2","2","1","1","2563","","","","392","392","392","HCGKCINC_04096","PIELJBDO_01012"
"sodB_2","","Superoxide dismutase [Mn/Fe]","2","2","1","1","82","","","","611","611","611","HCGKCINC_04614","PIELJBDO_04728"
"group_186","","hypothetical protein","2","2","1","1","5436","","","","965","965","965","HCGKCINC_02366","PIELJBDO_02841"
"lvr","","Levodione reductase","2","2","1","1","5214","","","","761","761","761","HCGKCINC_02586","PIELJBDO_02621"
"nth","","Endonuclease III","2","2","1","1","4152","","","","638","638","638","HCGKCINC_03618","PIELJBDO_01512"
"nuoC","","NADH-quinone oxidoreductase subunit C/D","2","2","1","1","5065","","","","1781","1781","1781","HCGKCINC_02719","PIELJBDO_02443"
"group_1863","","hypothetical protein","2","2","1","1","2126","","","","404","404","404","HCGKCINC_00459","PIELJBDO_00472"
"group_1864","","hypothetical protein","2","2","1","1","4739","","","","131","131","131","HCGKCINC_03038","PIELJBDO_02114"
"group_1865","","hypothetical protein","2","2","1","1","4940","","","","317","317","317","HCGKCINC_02842","PIELJBDO_02318"
"group_1866","","hypothetical protein","2","2","1","1","3682","","","","1415","1415","1415","HCGKCINC_01593","PIELJBDO_03607"
"ctaB","","Protoheme IX farnesyltransferase","2","2","1","1","1777","","","","914","914","914","HCGKCINC_00119","PIELJBDO_00117"
"yadV_4","","putative fimbrial chaperone YadV","2","2","1","1","5605","","","","746","746","746","HCGKCINC_02195","PIELJBDO_03012"
"codA","","Cytosine deaminase","2","2","1","1","2116","","","","1271","1271","1271","HCGKCINC_00448","PIELJBDO_00462"
"lgrB_2","","Linear gramicidin synthase subunit B","2","2","1","1","5424","","","","3749","3749","3749","HCGKCINC_02378","PIELJBDO_02831"
"cheB_5","","Protein-glutamate methylesterase/protein-glutamine glutaminase","2","2","1","1","532","","","","902","902","902","HCGKCINC_05544","PIELJBDO_05770"
"group_1871","","Putative transcriptional regulator","2","2","1","1","1688","","","","623","623","623","HCGKCINC_00035","PIELJBDO_00035"
"cheB_4","","Protein-glutamate methylesterase/protein-glutamine glutaminase","2","2","1","1","1065","","","","1628","1628","1628","HCGKCINC_05013","PIELJBDO_05236"
"folX","","Dihydroneopterin triphosphate 2'-epimerase","2","2","1","1","4209","","","","371","371","371","HCGKCINC_03561","PIELJBDO_01569"
"rpsF","","30S ribosomal protein S6","2","2","1","1","972","","","","419","419","419","HCGKCINC_05105","PIELJBDO_05329"
"group_1875","","hypothetical protein","2","2","1","1","2055","","","","605","605","605","HCGKCINC_00387","PIELJBDO_00401"
"gyrB","","DNA gyrase subunit B","2","2","1","1","1657","","","","2420","2420","2420","HCGKCINC_00004","PIELJBDO_00004"
"group_1877","","hypothetical protein","2","2","1","1","1344","","","","341","341","341","HCGKCINC_04725","PIELJBDO_04946"
"group_1878","","hypothetical protein","2","2","1","1","3133","","","","311","311","311","HCGKCINC_01050","PIELJBDO_04158"
"pyrF","","Orotidine 5'-phosphate decarboxylase","2","2","1","1","4799","","","","698","698","698","HCGKCINC_02979","PIELJBDO_02173"
"group_188","estB_2","Esterase EstB","2","2","1","1","5414","","","","1175","1175","1175","HCGKCINC_02388","PIELJBDO_02821"
"group_1880","","hypothetical protein","2","2","1","1","2046","","","","998","998","998","HCGKCINC_00378","PIELJBDO_00392"
"group_1881","","hypothetical protein","2","2","1","1","1272","","","","485","485","485","HCGKCINC_04798","PIELJBDO_05019"
"group_1882","","hypothetical protein","2","2","1","1","2562","","","","209","209","209","HCGKCINC_04095","PIELJBDO_01013"
"group_1883","","hypothetical protein","2","2","1","1","647","","","","479","479","479","HCGKCINC_05432","PIELJBDO_05658"
"ndh","","NADH dehydrogenase","2","2","1","1","303","","","","1307","1307","1307","HCGKCINC_04684","PIELJBDO_04799"
"ribH","","6,7-dimethyl-8-ribityllumazine synthase","2","2","1","1","2650","","","","476","476","476","HCGKCINC_04182","PIELJBDO_00926"
"clpX_2","","ATP-dependent Clp protease ATP-binding subunit ClpX","2","2","1","1","5949","","","","1280","1280","1280","HCGKCINC_01856","PIELJBDO_03340"
"cmpR_2","","HTH-type transcriptional activator CmpR","2","2","1","1","4549","","","","893","893","893","HCGKCINC_03231","PIELJBDO_01919"
"group_1888","","hypothetical protein","2","2","1","1","1276","","","","587","587","587","HCGKCINC_04794","PIELJBDO_05015"
"group_1889","","hypothetical protein","2","2","1","1","6027","","","","341","341","341","HCGKCINC_01775","PIELJBDO_03422"
"group_189","","hypothetical protein","2","2","1","1","5407","","","","143","143","143","HCGKCINC_02396","PIELJBDO_02814"
"group_1890","","Methylmalonyl-CoA carboxyltransferase 12S subunit","2","2","1","1","5726","","","","1607","1607","1607","HCGKCINC_02077","PIELJBDO_03122"
"alaA","","Glutamate-pyruvate aminotransferase AlaA","2","2","1","1","4846","","","","1211","1211","1211","HCGKCINC_02930","PIELJBDO_02221"
"group_1892","cmoA_1","Carboxy-S-adenosyl-L-methionine synthase","2","2","1","1","3041","","","","758","758","758","HCGKCINC_00801","PIELJBDO_04413"
"group_1893","","hypothetical protein","2","2","1","1","5008","","","","500","500","500","HCGKCINC_02775","PIELJBDO_02387"
"group_1894","","hypothetical protein","2","2","1","1","6013","","","","371","371","371","HCGKCINC_01789","PIELJBDO_03408"
"group_1895","","hypothetical protein","2","2","1","1","5929","","","","1688","1688","1688","HCGKCINC_01877","PIELJBDO_03319"
"fecI_5","","putative RNA polymerase sigma factor FecI","2","2","1","1","5643","","","","509","509","509","HCGKCINC_02158","PIELJBDO_03043"
"petB","","Cytochrome b","2","2","1","1","121","","","","1211","1211","1211","HCGKCINC_04575","PIELJBDO_04689"
"pagL","","Lipid A deacylase PagL","2","2","1","1","1254","","","","521","521","521","HCGKCINC_04816","PIELJBDO_05037"
"gdx_2","","Guanidinium exporter","2","2","1","1","5863","","","","323","323","323","HCGKCINC_01941","PIELJBDO_03255"
"zapE_1","","Cell division protein ZapE","2","2","1","1","5376","","","","1154","1154","1154","HCGKCINC_02427","PIELJBDO_02787"
"sucA","","2-oxoglutarate dehydrogenase E1 component","2","2","1","1","6172","","","","2831","2831","2831","HCGKCINC_01630","PIELJBDO_03571"
"lptC","","Lipopolysaccharide export system protein LptC","2","2","1","1","91","","","","572","572","572","HCGKCINC_04605","PIELJBDO_04719"
"group_1902","","hypothetical protein","2","2","1","1","5791","","","","1265","1265","1265","HCGKCINC_02013","PIELJBDO_03186"
"xcpT_1","","Type II secretion system protein G","2","2","1","1","2903","","","","449","449","449","HCGKCINC_00700","PIELJBDO_04519"
"lrp_2","","Leucine-responsive regulatory protein","2","2","1","1","5484","","","","461","461","461","HCGKCINC_02318","PIELJBDO_02889"
"adeP_2","","Adenine permease AdeP","2","2","1","1","1195","","","","1295","1295","1295","HCGKCINC_04882","PIELJBDO_05103"
"group_1906","","hypothetical protein","2","2","1","1","1702","","","","353","353","353","HCGKCINC_00049","PIELJBDO_00048"
"rpsD","","30S ribosomal protein S4","2","2","1","1","2848","","","","620","620","620","HCGKCINC_04371","PIELJBDO_00741"
"yxaF_2","","putative HTH-type transcriptional regulator YxaF","2","2","1","1","3367","","","","560","560","560","HCGKCINC_01280","PIELJBDO_03912"
"gloB_2","","Hydroxyacylglutathione hydrolase GloB","2","2","1","1","5938","","","","776","776","776","HCGKCINC_01868","PIELJBDO_03328"
"group_191","","hypothetical protein","2","2","1","1","5368","","","","3815","3815","3815","HCGKCINC_02435","PIELJBDO_02779"
"tam_2","","Trans-aconitate 2-methyltransferase","2","2","1","1","3339","","","","746","746","746","HCGKCINC_01254","PIELJBDO_03940"
"anr","","Transcriptional activator protein Anr","2","2","1","1","3675","","","","734","734","734","HCGKCINC_01586","PIELJBDO_03614"
"ftsX","","Cell division protein FtsX","2","2","1","1","2053","","","","1007","1007","1007","HCGKCINC_00385","PIELJBDO_00399"
"nadB","","L-aspartate oxidase","2","2","1","1","3055","","","","1616","1616","1616","HCGKCINC_00787","PIELJBDO_04427"
"group_1914","ssuC_1","Putative aliphatic sulfonates transport permease protein SsuC","2","2","1","1","2532","","","","818","818","818","HCGKCINC_04065","PIELJBDO_01043"
"yiaD","","putative lipoprotein YiaD","2","2","1","1","2982","","","","713","713","713","HCGKCINC_00860","PIELJBDO_04348"
"group_1916","","hypothetical protein","2","2","1","1","4350","","","","203","203","203","HCGKCINC_03421","PIELJBDO_01712"
"group_1917","","hypothetical protein","2","2","1","1","3482","","","","1106","1106","1106","HCGKCINC_01396","PIELJBDO_03796"
"nodD2_2","","Nodulation protein D 2","2","2","1","1","712","","","","908","908","908","HCGKCINC_05367","PIELJBDO_05593"
"group_1919","","hypothetical protein","2","2","1","1","641","","","","1130","1130","1130","HCGKCINC_05438","PIELJBDO_05664"
"group_192","","hypothetical protein","2","2","1","1","5361","","","","425","425","425","HCGKCINC_02442","PIELJBDO_02772"
"group_1920","","hypothetical protein","2","2","1","1","2143","","","","302","302","302","HCGKCINC_00477","PIELJBDO_00489"
"feoA","","Fe(2+) transport protein A","2","2","1","1","194","","","","227","227","227","HCGKCINC_04501","PIELJBDO_04616"
"group_1922","","hypothetical protein","2","2","1","1","202","","","","776","776","776","HCGKCINC_04493","PIELJBDO_04608"
"group_1923","","Putative short-chain type dehydrogenase/reductase","2","2","1","1","4221","","","","911","911","911","HCGKCINC_03549","PIELJBDO_01580"
"group_1924","","hypothetical protein","2","2","1","1","563","","","","371","371","371","HCGKCINC_05513","PIELJBDO_05739"
"cysK","","Cysteine synthase A","2","2","1","1","4993","","","","974","974","974","HCGKCINC_02791","PIELJBDO_02371"
"minD","","Septum site-determining protein MinD","2","2","1","1","4413","","","","815","815","815","HCGKCINC_03356","PIELJBDO_01777"
"narL","","Nitrate/nitrite response regulator protein NarL","2","2","1","1","2472","","","","659","659","659","HCGKCINC_04005","PIELJBDO_01106"
"betT2","","Osmo-dependent choline transporter BetT2","2","2","1","1","2529","","","","1961","1961","1961","HCGKCINC_04062","PIELJBDO_01046"
"cyaY","","Iron-sulfur cluster assembly protein CyaY","2","2","1","1","621","","","","335","335","335","HCGKCINC_05455","PIELJBDO_05682"
"vgrG1_4","","Actin cross-linking toxin VgrG1","2","2","1","1","5355","","","","2006","2006","2006","HCGKCINC_02446","PIELJBDO_02766"
"group_1930","","hypothetical protein","2","2","1","1","2576","","","","548","548","548","HCGKCINC_04108","PIELJBDO_00999"
"livH_1","","High-affinity branched-chain amino acid transport system permease protein LivH","2","2","1","1","3194","","","","923","923","923","HCGKCINC_01110","PIELJBDO_04098"
"pgsA","","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase","2","2","1","1","5121","","","","560","560","560","HCGKCINC_02663","PIELJBDO_02499"
"hcp1_2","","Protein hcp1","2","2","1","1","5362","","","","497","497","497","HCGKCINC_02441","PIELJBDO_02773"
"potF_1","","Putrescine-binding periplasmic protein","2","2","1","1","1969","","","","1061","1061","1061","HCGKCINC_00301","PIELJBDO_00314"
"group_1935","","hypothetical protein","2","2","1","1","2010","","","","467","467","467","HCGKCINC_00342","PIELJBDO_00355"
"group_1936","","hypothetical protein","2","2","1","1","4608","","","","518","518","518","HCGKCINC_03168","PIELJBDO_01981"
"dapA_2","","4-hydroxy-tetrahydrodipicolinate synthase","2","2","1","1","3127","","","","878","878","878","HCGKCINC_01043","PIELJBDO_04165"
"mdtE","","Multidrug resistance protein MdtE","2","2","1","1","1821","","","","1070","1070","1070","HCGKCINC_00163","PIELJBDO_00162"
"pleD_1","","Response regulator PleD","2","2","1","1","2088","","","","365","365","365","HCGKCINC_00420","PIELJBDO_00434"
"group_194","","hypothetical protein","2","2","1","1","5354","","","","536","536","536","HCGKCINC_02447","PIELJBDO_02765"
"qseB_1","","Transcriptional regulatory protein QseB","2","2","1","1","5047","","","","671","671","671","HCGKCINC_02737","PIELJBDO_02425"
"tsaC1","","4-formylbenzenesulfonate dehydrogenase TsaC1/TsaC2","2","2","1","1","373","","","","758","758","758","HCGKCINC_05708","PIELJBDO_05934"
"rpsK","","30S ribosomal protein S11","2","2","1","1","2849","","","","389","389","389","HCGKCINC_04372","PIELJBDO_00740"
"ccpA","","Cytochrome c551 peroxidase","2","2","1","1","1332","","","","1040","1040","1040","HCGKCINC_04738","PIELJBDO_04959"
"group_1944","","hypothetical protein","2","2","1","1","2247","","","","158","158","158","HCGKCINC_00580","PIELJBDO_00590"
"group_1945","","hypothetical protein","2","2","1","1","163","","","","734","734","734","HCGKCINC_04533","PIELJBDO_04647"
"group_1946","","hypothetical protein","2","2","1","1","5231","","","","632","632","632","HCGKCINC_02569","PIELJBDO_02638"
"group_1947","rutD_1","Putative aminoacrylate hydrolase RutD","2","2","1","1","4953","","","","863","863","863","HCGKCINC_02829","PIELJBDO_02331"
"group_1948","","hypothetical protein","2","2","1","1","996","","","","1277","1277","1277","HCGKCINC_05081","PIELJBDO_05305"
"group_1949","","hypothetical protein","2","2","1","1","5348","","","","236","236","236","HCGKCINC_02453","PIELJBDO_02759"
"sdaA","","L-serine dehydratase 2","2","2","1","1","5285","","","","1376","1409","1392","HCGKCINC_02516","PIELJBDO_02690"
"yciI","","Protein YciI","2","2","1","1","4460","","","","299","299","299","HCGKCINC_03314","PIELJBDO_01841"
"group_1951","","hypothetical protein","2","2","1","1","843","","","","275","275","275","HCGKCINC_05235","PIELJBDO_05459"
"tktA","","Transketolase 1","2","2","1","1","2228","","","","1997","1997","1997","HCGKCINC_00561","PIELJBDO_00571"
"group_1953","","hypothetical protein","2","2","1","1","3240","","","","374","374","374","HCGKCINC_01156","PIELJBDO_04052"
"melD","","Melibiose/raffinose/stachyose import permease protein MelD","2","2","1","1","4474","","","","932","932","932","HCGKCINC_03300","PIELJBDO_01855"
"rng","","Ribonuclease G","2","2","1","1","73","","","","1457","1457","1457","HCGKCINC_04623","PIELJBDO_04737"
"group_1956","","hypothetical protein","2","2","1","1","1749","","","","1046","1046","1046","HCGKCINC_00095","PIELJBDO_00092"
"group_1957","","hypothetical protein","2","2","1","1","3431","","","","473","473","473","HCGKCINC_01345","PIELJBDO_03847"
"group_1958","","hypothetical protein","2","2","1","1","5958","","","","221","221","221","HCGKCINC_01849","PIELJBDO_03348"
"group_1959","","hypothetical protein","2","2","1","1","5040","","","","257","257","257","HCGKCINC_02744","PIELJBDO_02418"
"group_196","","hypothetical protein","2","2","1","1","5274","","","","527","536","531","HCGKCINC_02528","PIELJBDO_02679"
"fptA","","Fe(3+)-pyochelin receptor","2","2","1","1","2830","","","","2162","2162","2162","HCGKCINC_04353","PIELJBDO_00759"
"nuoB","","NADH-quinone oxidoreductase subunit B","2","2","1","1","5066","","","","677","677","677","HCGKCINC_02718","PIELJBDO_02444"
"asd","","Aspartate-semialdehyde dehydrogenase","2","2","1","1","4554","","","","1112","1112","1112","HCGKCINC_03226","PIELJBDO_01924"
"ccoN1_3","","Cbb3-type cytochrome c oxidase subunit CcoN1","2","2","1","1","3690","","","","1427","1427","1427","HCGKCINC_01601","PIELJBDO_03599"
"group_1964","","hypothetical protein","2","2","1","1","2896","","","","716","716","716","HCGKCINC_00693","PIELJBDO_04526"
"spuD_1","","Putrescine-binding periplasmic protein SpuD","2","2","1","1","1974","","","","1103","1103","1103","HCGKCINC_00306","PIELJBDO_00319"
"selD","","Selenide, water dikinase","2","2","1","1","6115","","","","1034","1034","1034","HCGKCINC_01687","PIELJBDO_03514"
"group_1967","","hypothetical protein","2","2","1","1","5597","","","","524","524","524","HCGKCINC_02203","PIELJBDO_03004"
"group_1968","","hypothetical protein","2","2","1","1","6096","","","","1787","1787","1787","HCGKCINC_01706","PIELJBDO_03491"
"group_1969","","Putative pterin-4-alpha-carbinolamine dehydratase","2","2","1","1","1521","","","","356","356","356","HCGKCINC_00899","PIELJBDO_04309"
"sdgD","","Gentisate 1,2-dioxygenase","2","2","1","1","5259","","","","1061","1061","1061","HCGKCINC_02541","PIELJBDO_02666"
"mltD","","Membrane-bound lytic murein transglycosylase D","2","2","1","1","5939","","","","1604","1604","1604","HCGKCINC_01867","PIELJBDO_03329"
"group_1971","","hypothetical protein","2","2","1","1","1349","","","","224","224","224","HCGKCINC_04720","PIELJBDO_04941"
"group_1972","","hypothetical protein","2","2","1","1","904","","","","956","956","956","HCGKCINC_05174","PIELJBDO_05398"
"csaA","","putative chaperone CsaA","2","2","1","1","4441","","","","335","335","335","HCGKCINC_03333","PIELJBDO_01822"
"group_1974","","hypothetical protein","2","2","1","1","1920","","","","932","932","932","HCGKCINC_00262","PIELJBDO_00253"
"rpmC","","50S ribosomal protein L29","2","2","1","1","2864","","","","191","191","191","HCGKCINC_04387","PIELJBDO_00725"
"pncB2_1","","Nicotinate phosphoribosyltransferase 2","2","2","1","1","176","","","","1196","1196","1196","HCGKCINC_04520","PIELJBDO_04634"
"erpA","","Iron-sulfur cluster insertion protein ErpA","2","2","1","1","2351","","","","350","350","350","HCGKCINC_00679","PIELJBDO_00687"
"yabJ_3","","2-iminobutanoate/2-iminopropanoate deaminase","2","2","1","1","593","","","","353","353","353","HCGKCINC_05483","PIELJBDO_05710"
"yceD","","Large ribosomal RNA subunit accumulation protein YceD","2","2","1","1","4700","","","","536","536","536","HCGKCINC_03076","PIELJBDO_02075"
"group_198","","hypothetical protein","2","2","1","1","5244","","","","119","119","119","HCGKCINC_02556","PIELJBDO_02651"
"ubiD","","3-octaprenyl-4-hydroxybenzoate carboxy-lyase","2","2","1","1","663","","","","1466","1466","1466","HCGKCINC_05416","PIELJBDO_05642"
"group_1981","","hypothetical protein","2","2","1","1","2555","","","","734","734","734","HCGKCINC_04088","PIELJBDO_01020"
"group_1982","","hypothetical protein","2","2","1","1","4381","","","","287","287","287","HCGKCINC_03390","PIELJBDO_01743"
"yhbU","","putative protease YhbU","2","2","1","1","2509","","","","995","995","995","HCGKCINC_04042","PIELJBDO_01069"
"bcp","","Peroxiredoxin Bcp","2","2","1","1","3125","","","","473","473","473","HCGKCINC_01041","PIELJBDO_04167"
"fecI_10","","putative RNA polymerase sigma factor FecI","2","2","1","1","3426","","","","527","527","527","HCGKCINC_01340","PIELJBDO_03852"
"mntP","","putative manganese efflux pump MntP","2","2","1","1","4765","","","","569","569","569","HCGKCINC_03013","PIELJBDO_02139"
"mgtC_1","","Protein MgtC","2","2","1","1","5168","","","","692","692","692","HCGKCINC_02631","PIELJBDO_02575"
"mdcC","","Malonate decarboxylase acyl carrier protein","2","2","1","1","1874","","","","299","299","299","HCGKCINC_00216","PIELJBDO_00207"
"aroK","","Shikimate kinase 1","2","2","1","1","866","","","","518","518","518","HCGKCINC_05212","PIELJBDO_05436"
"group_199","","hypothetical protein","2","2","1","1","5242","","","","272","272","272","HCGKCINC_02558","PIELJBDO_02649"
"fabG_5","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","2","2","1","1","4704","","","","743","743","743","HCGKCINC_03072","PIELJBDO_02079"
"argT_1","","Lysine/arginine/ornithine-binding periplasmic protein","2","2","1","1","1538","","","","779","779","779","HCGKCINC_00916","PIELJBDO_04292"
"sasA_14","","Adaptive-response sensory-kinase SasA","2","2","1","1","172","","","","1280","1280","1280","HCGKCINC_04524","PIELJBDO_04638"
"group_1993","","hypothetical protein","2","2","1","1","6136","","","","812","812","812","HCGKCINC_01666","PIELJBDO_03535"
"ycaD_2","","putative MFS-type transporter YcaD","2","2","1","1","1021","","","","1316","1316","1316","HCGKCINC_05057","PIELJBDO_05281"
"group_1995","","hypothetical protein","2","2","1","1","1034","","","","416","416","416","HCGKCINC_05044","PIELJBDO_05268"
"group_1996","","putative HTH-type transcriptional regulator","2","2","1","1","4989","","","","479","479","479","HCGKCINC_02795","PIELJBDO_02367"
"group_1997","","hypothetical protein","2","2","1","1","5661","","","","209","209","209","HCGKCINC_02140","PIELJBDO_03061"
"csrA_2","","Translational regulator CsrA","2","2","1","1","718","","","","215","215","215","HCGKCINC_05361","PIELJBDO_05587"
"gntR_1","","putative D-xylose utilization operon transcriptional repressor","2","2","1","1","3017","","","","722","722","722","HCGKCINC_00824","PIELJBDO_04389"
"group_20","","hypothetical protein","2","2","1","1","2459","","","","1679","2294","1986","HCGKCINC_03992","PIELJBDO_01120"
"nodD2_1","","HTH-type transcriptional regulator SyrM 1","2","2","1","1","5237","","","","728","914","821","HCGKCINC_02563","PIELJBDO_02644"
"group_2000","","hypothetical protein","2","2","1","1","3912","","","","194","194","194","HCGKCINC_03876","PIELJBDO_01271"
"group_2001","","hypothetical protein","2","2","1","1","4251","","","","341","341","341","HCGKCINC_03519","PIELJBDO_01610"
"lpxL_1","","Lipid A biosynthesis lauroyltransferase","2","2","1","1","1664","","","","887","887","887","HCGKCINC_00011","PIELJBDO_00011"
"aroQ1_2","","3-dehydroquinate dehydratase 1","2","2","1","1","1062","","","","443","443","443","HCGKCINC_05016","PIELJBDO_05239"
"rpsH","","30S ribosomal protein S8","2","2","1","1","2858","","","","392","392","392","HCGKCINC_04381","PIELJBDO_00731"
"moaE","","Molybdopterin synthase catalytic subunit","2","2","1","1","2512","","","","452","452","452","HCGKCINC_04045","PIELJBDO_01066"
"kdsA","","2-dehydro-3-deoxyphosphooctonate aldolase","2","2","1","1","4028","","","","845","845","845","HCGKCINC_03760","PIELJBDO_01387"
"group_2007","speE_1","Polyamine aminopropyltransferase","2","2","1","1","4833","","","","746","746","746","HCGKCINC_02944","PIELJBDO_02207"
"group_2008","","hypothetical protein","2","2","1","1","941","","","","1013","1013","1013","HCGKCINC_05138","PIELJBDO_05362"
"group_2009","","hypothetical protein","2","2","1","1","1673","","","","1025","1025","1025","HCGKCINC_00020","PIELJBDO_00020"
"group_201","","hypothetical protein","2","2","1","1","5227","","","","1340","1340","1340","HCGKCINC_02573","PIELJBDO_02634"
"group_2010","","hypothetical protein","2","2","1","1","5581","","","","242","242","242","HCGKCINC_02219","PIELJBDO_02988"
"group_2011","","hypothetical protein","2","2","1","1","4134","","","","221","221","221","HCGKCINC_03653","PIELJBDO_01495"
"flgB","","Flagellar basal body rod protein FlgB","2","2","1","1","3198","","","","407","407","407","HCGKCINC_01114","PIELJBDO_04094"
"ftsW","","putative peptidoglycan glycosyltransferase FtsW","2","2","1","1","138","","","","1199","1199","1199","HCGKCINC_04558","PIELJBDO_04672"
"mshA_5","","D-inositol-3-phosphate glycosyltransferase","2","2","1","1","445","","","","1127","1127","1127","HCGKCINC_05636","PIELJBDO_05862"
