"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Klebsiella_pneumoniae_strain1","Klebsiella_pneumoniae_strain2"
"mlc","","Protein mlc","2","2","1","95","1165","","","","1223","1223","1223","JODDOAAB_03467","MDIKJABB_03017"
"group_3677","","hypothetical protein","2","2","1","94","264","","","","1046","1046","1046","JODDOAAB_02800","MDIKJABB_01742"
"ppa_1","","Inorganic pyrophosphatase","2","2","1","91","139","","","","530","530","530","JODDOAAB_02365","MDIKJABB_03140"
"bcr_2","","Bicyclomycin resistance protein","2","2","1","95","1958","","","","1196","1196","1196","JODDOAAB_01381","MDIKJABB_00988"
"tyrS","","Tyrosine--tRNA ligase","2","2","1","95","714","","","","1274","1274","1274","JODDOAAB_02058","MDIKJABB_02940"
"group_3681","","hypothetical protein","2","2","1","93","976","","","","170","170","170","JODDOAAB_00296","MDIKJABB_00272"
"scmP","","N-acetylcysteine deacetylase","2","2","1","95","790","","","","1121","1121","1121","JODDOAAB_02134","MDIKJABB_04573"
"yedR","","Inner membrane protein YedR","2","2","1","95","1701","","","","281","281","281","JODDOAAB_01839","MDIKJABB_04672"
"yidC","","Membrane protein insertase YidC","2","2","1","90","78","","","","1646","1646","1646","JODDOAAB_04402","MDIKJABB_03453"
"yfcG","","Disulfide-bond oxidoreductase YfcG","2","2","1","95","2033","","","","629","629","629","JODDOAAB_01467","MDIKJABB_01064"
"glpT_2","","Glycerol-3-phosphate transporter","2","2","1","95","1988","","","","1346","1346","1346","JODDOAAB_01422","MDIKJABB_01019"
"group_3687","","hypothetical protein","2","2","1","93","941","","","","665","665","665","JODDOAAB_00261","MDIKJABB_00237"
"gsiD_1","","Glutathione transport system permease protein GsiD","2","2","1","93","395","","","","911","911","911","JODDOAAB_01087","MDIKJABB_04319"
"group_3689","","hypothetical protein","2","2","1","94","884","","","","353","353","353","JODDOAAB_00788","MDIKJABB_00423"
"yccX","","Acylphosphatase","2","2","1","93","265","","","","281","281","281","JODDOAAB_03190","MDIKJABB_03996"
"group_3691","","hypothetical protein","2","2","1","91","304","","","","668","668","668","JODDOAAB_02516","MDIKJABB_02399"
"rlmC","","23S rRNA (uracil(747)-C(5))-methyltransferase RlmC","2","2","1","93","370","","","","1127","1127","1127","JODDOAAB_01062","MDIKJABB_03286"
"thrC","","Threonine synthase","2","2","1","94","918","","","","1280","1280","1280","JODDOAAB_00825","MDIKJABB_00460"
"group_3694","","hypothetical protein","2","2","1","93","573","","","","485","485","485","JODDOAAB_01277","MDIKJABB_00782"
"cadB","","putative cadaverine/lysine antiporter","2","2","1","93","774","","","","1334","1334","1334","JODDOAAB_00098","MDIKJABB_00072"
"yceD","","Large ribosomal RNA subunit accumulation protein YceD","2","2","1","93","136","","","","521","521","521","JODDOAAB_03095","MDIKJABB_03919"
"group_3697","","hypothetical protein","2","2","1","94","528","","","","494","494","494","JODDOAAB_04051","MDIKJABB_02510"
"yegT","","Putative nucleoside transporter YegT","2","2","1","93","727","","","","1241","1241","1241","JODDOAAB_00051","MDIKJABB_00026"
"gntU","","Low-affinity gluconate transporter","2","2","1","92","79","","","","1265","1265","1265","JODDOAAB_00447","MDIKJABB_01228"
"ganB","","Arabinogalactan endo-beta-1,4-galactanase","2","2","1","93","843","","","","1202","1202","1202","JODDOAAB_00163","MDIKJABB_00140"
"group_3701","","hypothetical protein","2","2","1","91","238","","","","785","785","785","JODDOAAB_02468","MDIKJABB_02351"
"rplO","","50S ribosomal protein L15","2","2","1","84","27","","","","434","434","434","JODDOAAB_05019","MDIKJABB_04917"
"fruK","","Fructose import ATP-binding protein FruK","2","2","1","91","136","","","","1502","1502","1502","JODDOAAB_02363","MDIKJABB_03138"
"prs","","Ribose-phosphate pyrophosphokinase","2","2","1","95","436","","","","947","947","947","JODDOAAB_03042","MDIKJABB_02210"
"sucB","","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex","2","2","1","93","519","","","","1226","1226","1226","JODDOAAB_01218","MDIKJABB_00722"
"rpe","","Ribulose-phosphate 3-epimerase","2","2","1","92","37","","","","677","677","677","JODDOAAB_00405","MDIKJABB_01271"
"group_3707","","hypothetical protein","2","2","1","85","7","","","","218","218","218","JODDOAAB_05186","MDIKJABB_05203"
"mqo_1","","Malate:quinone oxidoreductase","2","2","1","95","1971","","","","1634","1634","1634","JODDOAAB_01405","MDIKJABB_01002"
"nupG","","Nucleoside permease NupG","2","2","1","94","507","","","","1253","1253","1253","JODDOAAB_04077","MDIKJABB_02493"
"yqaB","","Fructose-1-phosphate phosphatase YqaB","2","2","1","94","355","","","","566","566","566","JODDOAAB_03544","MDIKJABB_01838"
"ybgI","","GTP cyclohydrolase 1 type 2 ","2","2","1","93","533","","","","743","743","743","JODDOAAB_01232","MDIKJABB_00736"
"sseA","","3-mercaptopyruvate sulfurtransferase","2","2","1","95","1295","","","","857","857","857","JODDOAAB_01625","MDIKJABB_01324"
"group_3713","","hypothetical protein","2","2","1","95","434","","","","1046","1046","1046","JODDOAAB_03044","MDIKJABB_02208"
"group_3714","","hypothetical protein","2","2","1","95","258","","","","179","179","179","JODDOAAB_03736","MDIKJABB_03763"
"hpaB","","4-hydroxyphenylacetate 3-monooxygenase oxygenase component","2","2","1","94","838","","","","1562","1562","1562","JODDOAAB_00743","MDIKJABB_00379"
"rayT","","REP-associated tyrosine transposase","2","2","1","93","960","","","","491","491","491","JODDOAAB_00280","MDIKJABB_00256"
"ybhQ","","Inner membrane protein YbhQ","2","2","1","93","443","","","","437","437","437","JODDOAAB_01135","MDIKJABB_04292"
"nagC_1","","N-acetylglucosamine repressor","2","2","1","93","558","","","","1220","1220","1220","JODDOAAB_01256","MDIKJABB_00760"
"rseB","","Sigma-E factor regulatory protein RseB","2","2","1","95","1249","","","","956","956","956","JODDOAAB_01669","MDIKJABB_04078"
"group_3720","","hypothetical protein","2","2","1","95","1967","","","","263","263","263","JODDOAAB_01390","MDIKJABB_00997"
"group_3721","","hypothetical protein","2","2","1","93","392","","","","383","383","383","JODDOAAB_01084","MDIKJABB_04316"
"rlmJ","","Ribosomal RNA large subunit methyltransferase J","2","2","1","92","315","","","","842","842","842","JODDOAAB_00511","MDIKJABB_01164"
"accB","","Biotin carboxyl carrier protein of acetyl-CoA carboxylase","2","2","1","94","21","","","","467","467","467","JODDOAAB_04117","MDIKJABB_01533"
"trxA_2","","Thioredoxin 1","2","2","1","88","26","","","","329","329","329","JODDOAAB_04686","MDIKJABB_03660"
"fdhF_2","","Formate dehydrogenase H","2","2","1","91","321","","","","1679","1679","1679","JODDOAAB_02500","MDIKJABB_02383"
"bioP","","Biotin transporter","2","2","1","88","63","","","","899","899","899","JODDOAAB_04645","MDIKJABB_03618"
"ymoA_1","","Modulating protein YmoA","2","2","1","95","57","","","","203","203","203","JODDOAAB_05213","MDIKJABB_02651"
"gcvA_4","","Glycine cleavage system transcriptional activator","2","2","1","94","219","","","","824","824","824","JODDOAAB_02755","MDIKJABB_02027"
"maa","","Maltose O-acetyltransferase","2","2","1","93","833","","","","566","566","566","JODDOAAB_00153","MDIKJABB_00130"
"group_3730","","hypothetical protein","2","2","1","95","1047","","","","218","218","218","JODDOAAB_03885","MDIKJABB_03390"
"group_3731","","hypothetical protein","2","2","1","94","380","","","","902","902","902","JODDOAAB_03569","MDIKJABB_01863"
"gmuB","","PTS system oligo-beta-mannoside-specific EIIB component","2","2","1","94","307","","","","314","314","314","JODDOAAB_03491","MDIKJABB_01785"
"group_3733","","hypothetical protein","2","2","1","95","733","","","","185","185","185","JODDOAAB_02077","MDIKJABB_02959"
"group_3734","","hypothetical protein","2","2","1","90","73","","","","728","728","728","JODDOAAB_04407","MDIKJABB_03448"
"lysU","","Lysine--tRNA ligase, heat inducible","2","2","1","93","771","","","","1517","1517","1517","JODDOAAB_00095","MDIKJABB_00069"
"yaiY","","Inner membrane protein YaiY","2","2","1","93","954","","","","302","302","302","JODDOAAB_00274","MDIKJABB_00250"
"trkA","","Trk system potassium uptake protein TrkA","2","2","1","84","37","","","","1376","1376","1376","JODDOAAB_05009","MDIKJABB_04907"
"uspF","","Universal stress protein F","2","2","1","95","356","","","","434","434","434","JODDOAAB_03288","MDIKJABB_04061"
"ilvH","","Acetolactate synthase isozyme 3 small subunit","2","2","1","94","1072","","","","491","491","491","JODDOAAB_00893","MDIKJABB_00539"
"hcaR","","Hca operon transcriptional activator HcaR","2","2","1","95","1166","","","","902","902","902","JODDOAAB_03466","MDIKJABB_03016"
"rng","","Ribonuclease G","2","2","1","94","30","","","","1469","1469","1469","JODDOAAB_04126","MDIKJABB_01542"
"ytjB","","putative inner membrane protein Smp","2","2","1","94","900","","","","647","647","647","JODDOAAB_00807","MDIKJABB_00442"
"blc_2","","Outer membrane lipoprotein Blc","2","2","1","79","11","","","","533","533","533","JODDOAAB_05079","MDIKJABB_05060"
"group_3744","","hypothetical protein","2","2","1","95","677","","","","434","434","434","JODDOAAB_02018","MDIKJABB_02900"
"cfa","","Cyclopropane-fatty-acyl-phospholipid synthase","2","2","1","95","688","","","","1148","1148","1148","JODDOAAB_02032","MDIKJABB_02914"
"yifK","","putative transport protein YifK","2","2","1","88","40","","","","1385","1385","1385","JODDOAAB_04672","MDIKJABB_03646"
"group_3747","","hypothetical protein","2","2","1","95","901","","","","932","932","932","JODDOAAB_02251","MDIKJABB_04122"
"gntK","","Thermoresistant gluconokinase","2","2","1","92","80","","","","530","530","530","JODDOAAB_00448","MDIKJABB_01227"
"marR","","Multiple antibiotic resistance protein MarR","2","2","1","95","1109","","","","434","434","434","JODDOAAB_03943","MDIKJABB_03072"
"frdC","","Fumarate reductase subunit C","2","2","1","91","204","","","","395","395","395","JODDOAAB_02433","MDIKJABB_03210"
"yghB","","Inner membrane protein YghB","2","2","1","94","534","","","","659","659","659","JODDOAAB_04045","MDIKJABB_02516"
"murG","","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase","2","2","1","94","1061","","","","1046","1046","1046","JODDOAAB_00904","MDIKJABB_00550"
"iscU","","Iron-sulfur cluster assembly scaffold protein IscU","2","2","1","95","1286","","","","386","386","386","JODDOAAB_01634","MDIKJABB_01315"
"recQ","","ATP-dependent DNA helicase RecQ","2","2","1","88","57","","","","1826","1826","1826","JODDOAAB_04651","MDIKJABB_03624"
"tsx","","Nucleoside-specific channel-forming protein Tsx","2","2","1","93","911","","","","884","884","884","JODDOAAB_00231","MDIKJABB_00207"
"group_3756","","putative acyl-CoA thioester hydrolase","2","2","1","95","214","","","","365","365","365","JODDOAAB_03781","MDIKJABB_03801"
"ariR","","putative two-component-system connector protein AriR","2","2","1","93","487","","","","266","266","266","JODDOAAB_01179","MDIKJABB_00683"
"sigL","","ECF RNA polymerase sigma factor SigL","2","2","1","95","71","","","","545","545","545","JODDOAAB_05199","MDIKJABB_02665"
"dppD_2","","Dipeptide transport ATP-binding protein DppD","2","2","1","92","283","","","","983","983","983","JODDOAAB_00543","MDIKJABB_01132"
"rpmI","","50S ribosomal protein L35","2","2","1","95","494","","","","197","197","197","JODDOAAB_02982","MDIKJABB_02270"
"dmlR_17","","HTH-type transcriptional regulator DmlR","2","2","1","95","150","","","","881","881","881","JODDOAAB_03837","MDIKJABB_04229"
"mrkD_1","","Fimbria adhesin protein","2","2","1","94","104","","","","995","995","995","JODDOAAB_02636","MDIKJABB_01923"
"glnL","","Sensory histidine kinase/phosphatase NtrB","2","2","1","89","12","","","","1049","1049","1049","JODDOAAB_04520","MDIKJABB_03517"
"dcuB","","Anaerobic C4-dicarboxylate transporter DcuB","2","2","1","83","10","","","","1340","1340","1340","JODDOAAB_04886","MDIKJABB_04622"
"group_3765","","hypothetical protein","2","2","1","95","480","","","","833","833","833","JODDOAAB_02996","MDIKJABB_02256"
"ftnA_1","","Bacterial non-heme ferritin","2","2","1","95","1671","","","","509","509","509","JODDOAAB_01806","MDIKJABB_04705"
"can_1","","Carbonic anhydrase 2","2","2","1","94","1021","","","","662","662","662","JODDOAAB_00944","MDIKJABB_00590"
"yhhA","","putative protein YhhA","2","2","1","92","88","","","","320","320","320","JODDOAAB_00455","MDIKJABB_01220"
"ydgH","","Protein YdgH","2","2","1","95","2266","","","","950","950","950","JODDOAAB_03361","MDIKJABB_04367"
"garD","","Galactarate dehydratase (L-threo-forming)","2","2","1","94","703","","","","1571","1571","1571","JODDOAAB_04228","MDIKJABB_01649"
"group_3771","","hypothetical protein","2","2","1","95","120","","","","230","230","230","JODDOAAB_05154","MDIKJABB_02715"
"ycgL","","Protein YcgL","2","2","1","95","1589","","","","281","281","281","JODDOAAB_01726","MDIKJABB_02765"
"plsX","","Phosphate acyltransferase","2","2","1","93","134","","","","1160","1160","1160","JODDOAAB_03093","MDIKJABB_03921"
"sdhA","","Succinate dehydrogenase flavoprotein subunit","2","2","1","93","522","","","","1766","1766","1766","JODDOAAB_01221","MDIKJABB_00725"
"mutS2","","Endonuclease MutS2","2","2","1","95","2062","","","","551","551","551","JODDOAAB_01496","MDIKJABB_01093"
"group_3776","","hypothetical protein","2","2","1","94","354","","","","314","314","314","JODDOAAB_03543","MDIKJABB_01837"
"pqqD","","PqqA binding protein","2","2","1","95","877","","","","278","278","278","JODDOAAB_02227","MDIKJABB_03894"
"puuR","","HTH-type transcriptional regulator PuuR","2","2","1","93","217","","","","557","557","557","JODDOAAB_03161","MDIKJABB_04734"
"hspQ","","Heat shock protein HspQ","2","2","1","93","269","","","","317","317","317","JODDOAAB_03194","MDIKJABB_03992"
"mtfA","","Protein MtfA","2","2","1","95","1767","","","","797","797","797","JODDOAAB_01842","MDIKJABB_03683"
"rpsA","","30S ribosomal protein S1","2","2","1","93","321","","","","1673","1673","1673","JODDOAAB_03246","MDIKJABB_03238"
"exbB","","Biopolymer transport protein ExbB","2","2","1","94","532","","","","731","731","731","JODDOAAB_04047","MDIKJABB_02514"
"atl","","DNA base-flipping protein","2","2","1","93","857","","","","311","311","311","JODDOAAB_00177","MDIKJABB_00153"
"hisG","","ATP phosphoribosyltransferase","2","2","1","95","1809","","","","899","899","899","JODDOAAB_01888","MDIKJABB_05124"
"dapE_1","","Succinyl-diaminopimelate desuccinylase","2","2","1","95","1363","","","","1127","1127","1127","JODDOAAB_01580","MDIKJABB_01422"
"ssuC_2","","Putative aliphatic sulfonates transport permease protein SsuC","2","2","1","93","292","","","","791","791","791","JODDOAAB_03217","MDIKJABB_03969"
"iolE_4","","Inosose dehydratase","2","2","1","91","82","","","","899","899","899","JODDOAAB_04914","MDIKJABB_05276"
"topB","","DNA topoisomerase 3","2","2","1","95","179","","","","1946","1946","1946","JODDOAAB_03816","MDIKJABB_04201"
"nrdH","","Glutaredoxin-like protein NrdH","2","2","1","94","372","","","","245","245","245","JODDOAAB_03561","MDIKJABB_01855"
"yfgG","","Protein YfgG","2","2","1","95","1339","","","","173","173","173","JODDOAAB_01604","MDIKJABB_01398"
"nfsA","","Oxygen-insensitive NADPH nitroreductase","2","2","1","93","378","","","","722","722","722","JODDOAAB_01070","MDIKJABB_03294"
"malE","","Maltose/maltodextrin-binding periplasmic protein","2","2","1","91","262","","","","1190","1190","1190","JODDOAAB_02557","MDIKJABB_02441"
"rsfS","","Ribosomal silencing factor RsfS","2","2","1","93","579","","","","317","317","317","JODDOAAB_01283","MDIKJABB_00788"
"fim","","Fimbrial subunit type 1","2","2","1","94","94","","","","548","548","548","JODDOAAB_02626","MDIKJABB_01913"
"ghxP","","Guanine/hypoxanthine permease GhxP","2","2","1","91","305","","","","1349","1349","1349","JODDOAAB_02515","MDIKJABB_02398"
"lsrD_3","","Autoinducer 2 import system permease protein LsrD","2","2","1","94","666","","","","998","998","998","JODDOAAB_04793","MDIKJABB_01686"
"cysH_2","","Phosphoadenosine phosphosulfate reductase","2","2","1","94","263","","","","734","734","734","JODDOAAB_02799","MDIKJABB_01741"
"miaA","","tRNA dimethylallyltransferase","2","2","1","91","189","","","","950","950","950","JODDOAAB_02415","MDIKJABB_03192"
"ygaV","","putative HTH-type transcriptional regulator YgaV","2","2","1","94","382","","","","299","299","299","JODDOAAB_03571","MDIKJABB_01865"
"group_38","","hypothetical protein","2","2","1","87","36","","","","488","1424","956","JODDOAAB_04720","MDIKJABB_05404"
"fadR","","Fatty acid metabolism regulator protein","2","2","1","95","1583","","","","719","719","719","JODDOAAB_01720","MDIKJABB_02771"
"iscX","","Protein IscX","2","2","1","95","1291","","","","200","200","200","JODDOAAB_01629","MDIKJABB_01320"
"arnF","","putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF","2","2","1","92","339","","","","380","380","380","JODDOAAB_00487","MDIKJABB_01188"
"rspR","","HTH-type transcriptional repressor RspR","2","2","1","95","1150","","","","686","686","686","JODDOAAB_05224","MDIKJABB_03032"
"sra","","Stationary-phase-induced ribosome-associated protein","2","2","1","95","846","","","","140","140","140","JODDOAAB_02189","MDIKJABB_03861"
"sxy","","Protein Sxy","2","2","1","93","275","","","","596","596","596","JODDOAAB_03200","MDIKJABB_03986"
"glpK","","Glycerol kinase","2","2","1","92","169","","","","1511","1511","1511","JODDOAAB_00657","MDIKJABB_02093"
"ybjP","","putative lipoprotein YbjP","2","2","1","93","362","","","","515","515","515","JODDOAAB_01054","MDIKJABB_03278"
"nadR","","Trifunctional NAD biosynthesis/regulator protein NadR","2","2","1","94","903","","","","1232","1232","1232","JODDOAAB_00810","MDIKJABB_00445"
"opuE","","Osmoregulated proline transporter OpuE","2","2","1","94","856","","","","1487","1487","1487","JODDOAAB_00760","MDIKJABB_00395"
"lamB_2","","Maltoporin","2","2","1","91","264","","","","1289","1289","1289","JODDOAAB_02555","MDIKJABB_02439"
"yigZ","","IMPACT family member YigZ","2","2","1","88","76","","","","614","614","614","JODDOAAB_04626","MDIKJABB_03593"
"tusD","","Sulfurtransferase TusD","2","2","1","92","8","","","","386","386","386","JODDOAAB_00377","MDIKJABB_01300"
"grxD","","Glutaredoxin 4","2","2","1","95","697","","","","347","347","347","JODDOAAB_02041","MDIKJABB_02923"
"copB","","Copper resistance protein B","2","2","1","95","82","","","","896","896","896","JODDOAAB_05093","MDIKJABB_02676"
"ftsL","","Cell division protein FtsL","2","2","1","94","1068","","","","365","365","365","JODDOAAB_00897","MDIKJABB_00543"
"cimH","","Citrate/malate transporter","2","2","1","94","1100","","","","1364","1364","1364","JODDOAAB_00865","MDIKJABB_00511"
"ispB","","Octaprenyl diphosphate synthase","2","2","1","94","757","","","","971","971","971","JODDOAAB_04184","MDIKJABB_01592"
"fis","","DNA-binding protein Fis","2","2","1","94","15","","","","296","296","296","JODDOAAB_04111","MDIKJABB_01527"
"glyQ","","Glycine--tRNA ligase alpha subunit","2","2","1","92","258","","","","911","911","911","JODDOAAB_00570","MDIKJABB_02182"
"mzrA","","Modulator protein MzrA","2","2","1","94","685","","","","386","386","386","JODDOAAB_04812","MDIKJABB_01667"
"group_3821","","hypothetical protein","2","2","1","94","880","","","","458","458","458","JODDOAAB_00784","MDIKJABB_00419"
"dacC","","D-alanyl-D-alanine carboxypeptidase DacC","2","2","1","93","389","","","","1211","1211","1211","JODDOAAB_01081","MDIKJABB_03305"
"chbA_4","","PTS system N,N'-diacetylchitobiose-specific EIIA component","2","2","1","92","121","","","","302","302","302","JODDOAAB_00704","MDIKJABB_05294"
"metK","","S-adenosylmethionine synthase","2","2","1","94","483","","","","1154","1154","1154","JODDOAAB_04101","MDIKJABB_02469"
"ulaG","","putative L-ascorbate-6-phosphate lactonase UlaG","2","2","1","91","173","","","","1064","1064","1064","JODDOAAB_02399","MDIKJABB_03176"
"iraP","","Anti-adapter protein IraP","2","2","1","93","949","","","","260","260","260","JODDOAAB_00269","MDIKJABB_00245"
"pgrR_7","","HTH-type transcriptional regulator PgrR","2","2","1","94","72","","","","899","899","899","JODDOAAB_02604","MDIKJABB_05165"
"rpsE","","30S ribosomal protein S5","2","2","1","84","25","","","","503","503","503","JODDOAAB_05021","MDIKJABB_04919"
"mntB_1","","Manganese transport system membrane protein MntB","2","2","1","94","299","","","","854","854","854","JODDOAAB_03483","MDIKJABB_01777"
"mraZ","","Transcriptional regulator MraZ","2","2","1","94","1070","","","","458","458","458","JODDOAAB_00895","MDIKJABB_00541"
"nrdI","","Protein NrdI","2","2","1","94","371","","","","410","410","410","JODDOAAB_03560","MDIKJABB_01854"
"hemA","","Glutamyl-tRNA reductase","2","2","1","95","439","","","","1256","1256","1256","JODDOAAB_03039","MDIKJABB_02213"
"pduA_1","","Propanediol utilization protein PduA","2","2","1","94","173","","","","275","275","275","JODDOAAB_02705","MDIKJABB_01990"
"cbl","","HTH-type transcriptional regulator cbl","2","2","1","95","1772","","","","950","950","950","JODDOAAB_01848","MDIKJABB_04159"
"ybhA","","Pyridoxal phosphate phosphatase YbhA","2","2","1","93","489","","","","818","818","818","JODDOAAB_01181","MDIKJABB_00685"
"group_3836","","hypothetical protein","2","2","1","95","218","","","","413","413","413","JODDOAAB_03777","MDIKJABB_03797"
"group_3837","","hypothetical protein","2","2","1","95","1636","","","","347","347","347","JODDOAAB_01772","MDIKJABB_05089"
"yajL","","Protein/nucleic acid deglycase 3","2","2","1","93","897","","","","593","593","593","JODDOAAB_00217","MDIKJABB_00193"
"group_3839","","hypothetical protein","2","2","1","94","1030","","","","362","362","362","JODDOAAB_00935","MDIKJABB_00581"
"group_3840","","hypothetical protein","2","2","1","92","18","","","","218","218","218","JODDOAAB_00387","MDIKJABB_01290"
"kdsA","","2-dehydro-3-deoxyphosphooctonate aldolase","2","2","1","95","444","","","","854","854","854","JODDOAAB_03034","MDIKJABB_02218"
"galS","","HTH-type transcriptional regulator GalS","2","2","1","95","1930","","","","1022","1022","1022","JODDOAAB_01991","MDIKJABB_00962"
"mltA","","Membrane-bound lytic murein transglycosylase A","2","2","1","94","214","","","","1097","1097","1097","JODDOAAB_02750","MDIKJABB_02022"
"arsD_2","","Arsenical resistance operon trans-acting repressor ArsD","2","2","1","95","70","","","","362","362","362","JODDOAAB_05200","MDIKJABB_02664"
"group_3845","","hypothetical protein","2","2","1","93","475","","","","110","110","110","JODDOAAB_01167","MDIKJABB_00672"
"sdhC","","Succinate dehydrogenase cytochrome b556 subunit","2","2","1","93","524","","","","404","404","404","JODDOAAB_01223","MDIKJABB_00727"
"traM_1","","Relaxosome protein TraM","2","2","1","87","29","","","","383","383","383","JODDOAAB_04714","MDIKJABB_05520"
"asd_1","","Aspartate-semialdehyde dehydrogenase","2","2","1","92","78","","","","1106","1106","1106","JODDOAAB_00446","MDIKJABB_01229"
"rapA","","RNA polymerase-associated protein RapA","2","2","1","94","1097","","","","2906","2906","2906","JODDOAAB_00868","MDIKJABB_00514"
"minD","","Septum site-determining protein MinD","2","2","1","95","1591","","","","812","812","812","JODDOAAB_01728","MDIKJABB_02763"
"rstB_1","","Sensor protein RstB","2","2","1","95","2272","","","","1301","1301","1301","JODDOAAB_03355","MDIKJABB_04373"
"group_3852","","hypothetical protein","2","2","1","89","29","","","","323","323","323","JODDOAAB_04503","MDIKJABB_03534"
"hmuV","","Hemin import ATP-binding protein HmuV","2","2","1","94","289","","","","779","779","779","JODDOAAB_03473","MDIKJABB_01767"
"ybhL","","Inner membrane protein YbhL","2","2","1","93","447","","","","704","704","704","JODDOAAB_01139","MDIKJABB_04296"
"xylH_2","","Xylose transport system permease protein XylH","2","2","1","94","500","","","","1247","1247","1247","JODDOAAB_04084","MDIKJABB_02486"
"rpsB","","30S ribosomal protein S2","2","2","1","94","973","","","","725","725","725","JODDOAAB_00992","MDIKJABB_00638"
"hsrA_1","","putative transport protein HsrA","2","2","1","90","36","","","","1397","1397","1397","JODDOAAB_04444","MDIKJABB_03411"
"ttdT","","L-tartrate/succinate antiporter","2","2","1","95","1191","","","","1433","1433","1433","JODDOAAB_03441","MDIKJABB_02991"
"gpx1","","Hydroperoxy fatty acid reductase gpx1","2","2","1","95","152","","","","482","482","482","JODDOAAB_03835","MDIKJABB_04227"
"atpF","","ATP synthase subunit b","2","2","1","90","54","","","","470","470","470","JODDOAAB_04426","MDIKJABB_03429"
"group_3861","","hypothetical protein","2","2","1","92","257","","","","302","302","302","JODDOAAB_00571","MDIKJABB_02181"
"osmY_2","","Osmotically-inducible protein Y","2","2","1","94","720","","","","575","575","575","JODDOAAB_04223","MDIKJABB_01631"
"group_3863","","hypothetical protein","2","2","1","92","103","","","","1244","1244","1244","JODDOAAB_00470","MDIKJABB_01205"
"group_3864","","hypothetical protein","2","2","1","95","1416","","","","353","353","353","JODDOAAB_01523","MDIKJABB_01479"
"folB","","Dihydroneopterin aldolase","2","2","1","94","568","","","","383","383","383","JODDOAAB_04011","MDIKJABB_02550"
"group_3866","","hypothetical protein","2","2","1","73","5","","","","320","320","320","JODDOAAB_05338","MDIKJABB_05534"
"rutA","","Pyrimidine monooxygenase RutA","2","2","1","93","181","","","","1091","1091","1091","JODDOAAB_03142","MDIKJABB_04458"
"rplV","","50S ribosomal protein L22","2","2","1","84","13","","","","332","332","332","JODDOAAB_05033","MDIKJABB_04931"
"nhaR","","Transcriptional activator protein NhaR","2","2","1","94","931","","","","896","896","896","JODDOAAB_00838","MDIKJABB_00473"
"lptE","","LPS-assembly lipoprotein LptE","2","2","1","93","575","","","","590","590","590","JODDOAAB_01279","MDIKJABB_00784"
"lolA","","Outer-membrane lipoprotein carrier protein","2","2","1","93","336","","","","611","611","611","JODDOAAB_01028","MDIKJABB_03253"
"celA_4","","PTS system cellobiose-specific EIIB component","2","2","1","83","12","","","","305","305","305","JODDOAAB_04888","MDIKJABB_04620"
"group_3873","","hypothetical protein","2","2","1","83","25","","","","695","695","695","JODDOAAB_04902","MDIKJABB_04606"
"group_3874","emrB_1","Multidrug export protein EmrB","2","2","1","94","361","","","","1538","1538","1538","JODDOAAB_03550","MDIKJABB_01844"
"phnG","","Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG","2","2","1","91","340","","","","452","452","452","JODDOAAB_02481","MDIKJABB_02364"
"bamC","","Outer membrane protein assembly factor BamC","2","2","1","95","1357","","","","1034","1034","1034","JODDOAAB_01586","MDIKJABB_01416"
"group_3877","","hypothetical protein","2","2","1","95","1608","","","","458","458","458","JODDOAAB_01745","MDIKJABB_02746"
"group_3878","","hypothetical protein","2","2","1","93","856","","","","407","407","407","JODDOAAB_00176","MDIKJABB_00152"
"group_3879","","hypothetical protein","2","2","1","95","641","","","","908","908","908","JODDOAAB_02848","MDIKJABB_02862"
"yhcO","","putative protein YhcO","2","2","1","94","37","","","","275","275","275","JODDOAAB_04133","MDIKJABB_01549"
"queD","","6-carboxy-5,6,7,8-tetrahydropterin synthase","2","2","1","94","260","","","","365","365","365","JODDOAAB_02796","MDIKJABB_01738"
"yqjF","","Inner membrane protein YqjF","2","2","1","94","690","","","","392","392","392","JODDOAAB_04817","MDIKJABB_01662"
"trxC","","Thioredoxin 2","2","2","1","95","1240","","","","425","425","425","JODDOAAB_01678","MDIKJABB_04069"
"tsaB","","tRNA threonylcarbamoyladenosine biosynthesis protein TsaB","2","2","1","95","1596","","","","695","695","695","JODDOAAB_01733","MDIKJABB_02758"
"group_3885","","hypothetical protein","2","2","1","95","357","","","","212","212","212","JODDOAAB_03289","MDIKJABB_04062"
"ybjO","","Inner membrane protein YbjO","2","2","1","93","371","","","","488","488","488","JODDOAAB_01063","MDIKJABB_03287"
"yycE","","putative protein YycE","2","2","1","95","1076","","","","422","422","422","JODDOAAB_03914","MDIKJABB_03103"
"bepF","","Efflux pump periplasmic linker BepF","2","2","1","94","406","","","","1175","1175","1175","JODDOAAB_03598","MDIKJABB_01889"
